expansion_snap_card
Date:,"2021 May 17, Monday 13:27:04",,,
Component Count:,194,,,
Ref,Qnty,Value,Manufacturer Part Number,Description
"C1, C23,",2,100pF,,"Unpolarized capacitor, small symbol"
"C2, C5, C6, C7, C8, C9, C10, C11, C14, C16, C18, C19, C21, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C55, C57, C58, C59, C60, C61, C65, C67,",42,100nF,,"Unpolarized capacitor, small symbol"
"C3, C22, C24,",3,10uF,,"Unpolarized capacitor, small symbol"
"C4, C12,",2,47uF,,"Unpolarized capacitor, small symbol"
"C13, C15,",2,220uF,,"Unpolarized capacitor, small symbol"
"C17, C20,",2,18pF,,"Unpolarized capacitor, small symbol"
"C25, C26, C29, C64, C66,",5,1uF,,"Unpolarized capacitor, small symbol"
"C27, C28,",2,470pF,,"Unpolarized capacitor, small symbol"
"C40,",1,4.7uF,,"Unpolarized capacitor, small symbol"
"C52, C53, C56, C62,",4,10pF,,"Unpolarized capacitor, small symbol"
"C54, C63,",2,10nF,,"Unpolarized capacitor, small symbol"
"D1, D6,",2,ESDA7P120-1U1M,,Zener diode
"D2, D4,",2,LED,,Light emitting diode
"D3, D5,",2,ESDA25L,ESDA25L,"TVS Diode Array, 2 Channels"
"D7,",1,PMEG1030EH,PMEG1030EH,"10V, 3A ultra low Vf MEGA Schottky barrier rectifier, SOD-123F"
"D8,",1,150066RG74000,150066RG74000,"Dual LED, Red and Green"
"D9,",1,150060AS75000,,Light emitting diode
"D10,",1,150060YS75000,,Light emitting diode
"D11,",1,150060GS75000,,Light emitting diode
"D12,",1,150060RS75000,,Light emitting diode
"E1,",1,ESDALC6V1-5M6,ESDALC6V1-5M6,"Uni-Directional TVS Diode, 30W peak"
"FB1, FB2, FB3,",3,30E @ 100MHz,,"Ferrite bead, small symbol"
"FB4, FB5, FB6,",3,100E@100MHz,,"Ferrite bead, small symbol"
"J1,",1,USB4125-GF-A_REVA,USB4125-GF-A,USB-C Power Connector
"J2, J8,",2,DF40C_2.0_-70DS-0.4V_51_,DF40C_2.0_-70DS-0.4V_51_,"RCPT, 70POS, 2ROW"
"J3,",1,DF40C_2.0_-24DS-0.4V_51,DF40C_2.0_-24DS-0.4V_51,RCPT SMT 24 pin
"J4, J5,",2,87583-0010BHLF,87583-0010BHLF,"USB Type A, Receptacle"
"J6,",1,USB4085-GF-A_REVA,USB4085-GF-A_REVA,USB-C 16 Data
"J7,",1,2-1734248-0,2-1734248-0,1mm Pitch 20 Way Straight Female FPC Connector
"J9,",1,RAHHD19TR,RAHHD19TR,HDMI Display Port
"J10,",1,503398-1892,503398-1892,uSD Connector
"J11,",1,RJLSE4038101,RJLSE4038101,Ethernet Connectors 8P8C Shielded 1 Port
"J12,",1,UJ2-MIBH-G-SMT-TR,UJ2-MIBH-G-SMT-TR,"Micro B type, 5 pin, USB Connectors"
"JP1, JP2, JP3, JP4,",4,SolderJumper_2_Bridged,,"Solder Jumper, 2-pole, closed/bridged"
"Q1, Q2, Q3,",3,STL9P3LLH6,STL9P3LLH6,P-Channel MOSFET LGS LV
"Q4,",1,BSR14,,"NPN transistor, base/emitter/collector"
"R1, R59, R61,",3,R_Small_US,R_Small_US,"Resistor, small US symbol"
"R2,",1,330E,,"Resistor, small US symbol"
"R3, R4, R5, R6,",4,47K,,"Resistor, small US symbol"
"R7, R8,",2,5K1,,"Resistor, small US symbol"
"R9, R11, R16, R24, R25, R26, R29, R48, R49, R54,",10,10k,,"Resistor, small US symbol"
"R10, R17, R23, R56, R57, R58,",6,1k,,"Resistor, small US symbol"
"R12, R13, R15, R18, R44, R45, R55,",7,100k,,"Resistor, small US symbol"
"R14,",1,12k,,"Resistor, small US symbol"
"R19, R20, R21, R22, R35, R36, R38, R39, R41, R46,",10,0E,,"Resistor, small US symbol"
"R27, R28,",2,2k2,,"Resistor, small US symbol"
"R30, R31, R32, R33, R34,",5,47k,,"Resistor, small US symbol"
"R37,",1,22E,,"Resistor, small US symbol"
"R40,",1,2k,,"Resistor, small US symbol"
"R42, R43,",2,4k7,,"Resistor, small US symbol"
"R47, R52,",2,100E,,"Resistor, small US symbol"
"R50, R51, R60, R62, R63, R64,",6,150E,,"Resistor, small US symbol"
"R53,",1,36k,,"Resistor, small US symbol"
"SW1,",1,SW_DIP_x03,,"3x DIP Switch, Single Pole Single Throw (SPST) switch, small symbol"
"SW2, SW3, SW4, SW5,",4,PTS647SN50SMTR2LFS,,MEC 5E single pole normally-open tactile switch
"U1,",1,BCM857BS-7-F,BCM857BS-7-F,Bipolar Transistors - BJT 45V
"U2,",1,MIC2026A-2YM-TR,MIC2026A-2YM-TR,USB High-Side Power Switch
"U3, U4, U7,",3,ECMF02-2AMX6,ECMF02-2AMX6,Common Mode Chokes / Filters ESD Mode Filter 6GHz USB 2.0 MIPI 8kV
